Y,T,income_k,urbanicity,competitor,brand_awareness,p_T,p0,p1,tau_true,cate_hat,urb_bin
1,1,47.09767418463092,0.7948426362426161,0,0.7430442270769406,0.6600455779125927,0.9122224206247094,0.9593661050254598,0.2735308181440865,0.1862987243735328,8
1,1,50.68602115553146,0.38921509047858976,0,0.7331459266282949,0.5402764580589245,0.8530687556724313,0.9163660194338861,0.21169685623461798,-0.00356329096178698,3
1,1,25.21649217284797,0.70497536590166,1,0.6407435840045564,0.41170600315661227,0.7000005415330397,0.8094996685141207,0.19982066328570466,-0.10697808545715459,7
1,1,36.429589743475105,0.2835174223533282,0,0.5177901432241044,0.4458751407530486,0.7339051945931226,0.8230932998543373,0.17430662767540966,0.18926911612436015,2
0,1,50.668984045377826,0.5072970904886382,0,0.6673530778681369,0.5671875696743651,0.8602501953062137,0.9231445304901337,0.22282987136010945,-0.02247877520540087,5
1,0,17.731344242046823,0.49500365282967235,1,0.391155051593201,0.2894389786314343,0.46799007241538426,0.5749027896729253,0.14336605308377096,-0.17432649332865402,5
0,0,45.76858594815757,0.4307404639537177,1,0.6466968229641827,0.37440244727880045,0.6908986132825524,0.7828182534345629,0.1592807518894759,0.05678610580287213,4
1,0,21.73450595308674,0.9037517885190492,1,0.4483258628821269,0.4321261107405023,0.670391197858329,0.7926775125479792,0.21039535456607006,0.1007449399152417,9
1,0,52.639154058440006,0.7844175577275118,1,0.7604457635208423,0.5142176481823401,0.8352779231925492,0.9084310267663274,0.22370721001121102,0.14184790404092995,8
1,0,58.55495840939586,0.4218435755925185,0,0.36656461976809385,0.5036972018730596,0.7746158837917954,0.8549990591919665,0.17993299831568715,0.09714432288468844,4
1,1,35.28928898176849,0.6424497718054418,0,0.6829742748224007,0.5836131460522391,0.8619017677906975,0.928586109780227,0.24466489325305635,0.011512181594230397,7
1,0,42.66229886013969,0.2210473327334588,0,0.03357518763979034,0.3643179814081188,0.5359368504270834,0.6209399052836475,0.11651461867399786,-0.22677514126918186,1
0,0,30.526898135018197,0.1983122857357004,0,0.1896957295373584,0.3559556405842548,0.5473788415352003,0.6402005997719314,0.1287164158140909,-0.05687873630846352,0
1,1,57.77936182450988,0.8447260561847797,0,0.5600037992366788,0.6627588191999695,0.9010614861949868,0.9524475975783284,0.26270928835138485,0.052781019237471916,9
1,0,33.338441189978944,0.34921397695237405,1,0.1574938500405858,0.262653241932066,0.40403909366713087,0.4764501905387728,0.09813148154691469,0.09534480060633155,3
1,0,41.492217550640945,0.42778995189037866,1,0.47935701077385884,0.3417197948028267,0.6082187787262696,0.7039426402146779,0.1421041938609427,0.021711182901428816,4
1,1,41.05477949487391,0.8394210636748431,1,0.7010854065238757,0.5024406908982897,0.8100030022408409,0.8936040040091382,0.22602170020361406,0.20644618336413767,9
1,0,25.777770709889083,0.7690209053451845,0,0.6933817531496697,0.60007892749864,0.8642827184431057,0.9337269028017346,0.26469131111674465,-0.04600540835994138,8
0,0,26.81194316159833,0.5389740961195011,0,0.12559064412253212,0.44041817969145414,0.6242982857408342,0.7365373426281568,0.17340517883017836,0.13439655620618718,5
0,0,30.63202088209587,0.4720086967342881,1,0.7685724463917032,0.374947666498363,0.6994480667528833,0.7986127733319399,0.17765854914931353,0.28242238031614175,4
1,0,53.91875239389885,0.9028755789806383,0,0.7387295063025073,0.6989493143200506,0.9293346454369557,0.9690644867442173,0.2893042874773465,0.05008813542238921,9
1,1,55.45448568307004,0.8231303339127929,0,0.6214236036491531,0.6624288524762942,0.9057314778335671,0.9551879599208895,0.26561191045183424,0.011084445554616296,9
1,1,64.14046469374289,0.3190672631443641,0,0.3979776047743338,0.4831301059468043,0.7670281456285145,0.8448254462071192,0.167657849949088,0.08114520865732755,2
1,1,50.699808288542094,0.6649658647706674,0,0.47587634886367364,0.5865814821704014,0.8467817358481675,0.9161827520386021,0.22733251460196746,0.16439948463910392,7
1,1,53.00034797774181,0.8552556997612095,0,0.49156837461775327,0.6496874090061711,0.8859360699880531,0.9438648752327911,0.25744519242595676,0.09470328877517731,9
1,1,59.71632627620934,0.5844036644235476,1,0.632987220102377,0.44020284893626405,0.7630990586266788,0.8471762651536944,0.18095927167376982,-0.14378473239195178,6
1,0,33.83238572629215,0.1194903131378203,0,0.2017681326373477,0.342262489054412,0.5387395042014596,0.6247057350018611,0.11810036023440781,0.031033444627682205,0
0,0,39.335500219002775,0.26083746381886147,1,0.13060248573468372,0.24794122008844227,0.3845256261898268,0.44427612503814207,0.0821858681462976,0.08172945128436265,1
1,0,42.174428451784486,0.06351652203275773,0,0.1558368156152234,0.3354262182332686,0.5301806397013784,0.6073539051182599,0.105111159866436,-0.13434072423380305,0
1,0,55.632262842256026,0.6867284706923714,1,0.6967662401220605,0.47721229436203966,0.8014735958161375,0.8811732388855363,0.20268589461606176,-0.017705000943306848,7
1,0,36.25096786844819,0.7174480533671723,0,0.9820501699912234,0.6533129261896129,0.9240114670055357,0.9662880208529699,0.2858222250041982,-0.001606401939993396,8
1,0,54.62047107523392,0.8897898013581835,0,0.9739727497029135,0.7271564696218105,0.9520327475695032,0.9805578476475572,0.3108657451740189,0.06219516151661697,9
1,0,39.037052752604666,0.36171816887616604,0,0.04150617128093603,0.40132332153465344,0.5783479235944303,0.6750729686214952,0.1384083424595185,0.013637995421947102,3
1,1,47.97485836638685,0.6674191148943001,1,0.4396907794053063,0.4187648484821613,0.6931693402486439,0.7920330856924119,0.17408194517467565,0.14013087314137473,7
1,0,31.274711050014314,0.5414932868218507,1,0.2853765445372358,0.32635674852737484,0.5228848997477438,0.6250147466291677,0.1397616474770012,-0.03360125892513666,5
1,0,47.70019145056651,0.4438324924829863,0,0.566986317059174,0.5263742630665175,0.8183614455849574,0.8923627432931511,0.20327350557836535,0.04291072585643352,4
0,0,50.482133837436294,0.13962360972358587,1,0.0,0.21950991277965137,0.3235307360084937,0.35783753357740355,0.05094354145853788,-0.21079141104787272,0
0,1,42.59631819453697,0.20139263162171359,0,0.07898582808070742,0.3651079543825851,0.548676374677338,0.6340535872569154,0.11810747755132778,-0.13702376562959795,1
1,1,43.27478568693127,0.8659268104027501,0,1.0,0.7092713177417492,0.9458042076173122,0.9778842085770452,0.30988902156041254,0.18747742746340046,9
1,0,81.19753020846237,0.5365604183306493,0,0.5047856614742962,0.5877573840232884,0.8643131767884052,0.9230461685707126,0.210962628897027,-0.0414073510157521,5
1,1,42.25763834204163,0.21873797215908403,0,0.5952913767459839,0.44937932778184103,0.7587616984689578,0.8406298586595986,0.172339833498461,-0.06632964644619777,1
1,1,62.5435204403598,0.6200732234861684,1,0.8427149186093417,0.48858853583735695,0.8359660074890418,0.9046817300123103,0.20728247538385947,0.09076908477896284,6
1,1,47.081982884561064,0.3648717100620611,0,0.4763552015577916,0.4855907264249033,0.7713378992358635,0.8535824910930807,0.1823662766650883,0.09139266611081354,3
1,1,52.31275201625418,0.6957283166552657,0,0.5865709148172173,0.6154058579569058,0.8780148532331902,0.937192442732433,0.24301633898001163,0.04592119938884642,7
1,0,50.07398412825999,0.23594636809925673,1,0.6809260406076116,0.3291489875124281,0.6519648982943808,0.7365553427887639,0.13348455927564967,-0.24307877443173087,1
1,0,76.30372539904243,0.16179576875442106,0,0.0,0.3851011973537027,0.585046947978941,0.6584365736706115,0.10426936531316316,-0.08115122296736854,0
1,1,86.67415087519979,0.31516930745718075,1,0.6176676523855553,0.3833041223157918,0.7234918834477263,0.7988264325900079,0.13904216135713265,-0.07507433315649725,2
1,0,60.86278568250259,0.44253146653122405,1,0.37681399695865436,0.3589784180626805,0.6241581980891051,0.7128812375315458,0.13406111967554904,0.015708653854601518,4
0,1,44.30349912375657,0.06015483875081832,1,0.375259579241621,0.23651959373896894,0.4354467234882856,0.49249687541091286,0.07654918373678485,-0.15397594421796623,0
0,0,51.051954187591846,0.1708828455164954,1,0.25372023273381594,0.25682433970424134,0.44342505821495404,0.5039350016937273,0.08100445010085591,0.08755239733331954,0
1,0,64.06984136092846,0.6465813077190072,0,0.7938283082584686,0.6467319261840285,0.9164258711063406,0.9594512772591728,0.25637002698369793,0.016292953969627266,7
1,1,33.84161630232416,0.461186889939961,1,0.5839139790822498,0.35178648558262277,0.6354895150121795,0.7366344090036226,0.15756943139921914,0.0737513154519458,4
0,0,39.80744513728326,0.4557377532988042,1,0.6569048116734426,0.37296905649092393,0.6849183162476067,0.7805066113520036,0.1640511441621649,0.09991095303192421,4
1,0,76.6975680487279,0.7053965185801349,1,0.567065160033088,0.488108878259773,0.7994297443415236,0.8765634732160547,0.19251599379032905,-0.1821760339923012,7
1,0,51.4143329625213,0.34514639427742444,1,0.5099437431001511,0.33777256088804686,0.6223579264427719,0.7105110803456638,0.13276633345162878,-0.03802011632138158,2
1,1,35.39083211888096,0.31203855668021097,0,0.7336600494436396,0.48701681381416917,0.8066702368623052,0.8838118122882406,0.2001717884463956,0.34909443670031703,2
1,0,27.027772847109436,0.7380604208641571,1,0.5511651339693531,0.41345485893198936,0.6850993882356302,0.7965360547441455,0.19582557652655888,0.033144834675962076,8
0,0,20.878773345847797,0.5252141090640741,1,0.6860860657210539,0.3501460259612621,0.6332107540161258,0.7461509371617356,0.1773907229317165,-0.01694126937555307,5
1,1,62.142265807913745,0.9607507492903419,1,0.5230301372938373,0.5458100652530093,0.82638724221292,0.9037394975784262,0.22641562612293503,0.03988330846989929,9
1,0,59.249589882709294,0.5887801806182545,0,0.7147461905017335,0.6118458753562805,0.8927140606966367,0.9447025680997702,0.23979164614291154,0.12081318855112788,6
1,0,27.490408900168134,0.6488096402836798,1,0.5040206108818461,0.3802037087595766,0.6384755865296645,0.750620504142597,0.1777235071307366,-0.13047619925143872,7
0,0,49.764982031158304,0.27401171347105296,1,0.051200904879309284,0.2557231178525086,0.38878224956580454,0.4442901860021326,0.07622184750858887,-0.17496424586172227,1
0,0,61.997281164369404,0.10033762353077164,1,0.48207860752175125,0.27998627974918017,0.5484728430793686,0.6163957439625891,0.09325850428179087,0.08397710537997699,0
0,1,34.96110187538903,0.5278433140658239,1,0.2896609172618059,0.3309739929291469,0.5363597699376563,0.6364812378884576,0.13814258883605418,-0.12868588527751046,5
0,0,35.809509619797396,0.6672288481142932,1,0.31802217184356335,0.3776474436344175,0.6035338051241039,0.7121544803783116,0.1618865444015003,0.03744674615585164,7
0,0,32.12025594850526,0.5571645043699445,1,0.49650660188868045,0.36331830382310504,0.6250761994154433,0.7312210988537216,0.1632253358443597,0.15496907166904017,6
1,0,23.07389526978949,0.49130242056513734,0,0.42421467116881084,0.46072805662221067,0.7076010234839165,0.8133781375699157,0.19611683020165166,0.15539640786641418,5
1,0,78.80291803392589,0.5424845642085269,0,0.7972322982939479,0.6317825988220744,0.9144259962557827,0.9565699675844156,0.24109591446067385,0.1069506392676115,5
1,0,49.071945230472856,0.7743122536639847,0,0.6344978029480938,0.6412719791225399,0.8946869860960097,0.9487449947105892,0.2595966183444071,0.07227827598173187,8
1,1,29.91390894869199,0.1145183683826161,0,0.24918804524987886,0.33880284438306,0.5397435205603979,0.6284562625301888,0.1220965597823803,0.20440492251356046,0
1,1,43.93074884869198,0.6600558231123672,0,0.642845756046283,0.5997847407666449,0.8717783499180677,0.9338044399525695,0.2432929490714834,0.09709801969584064,7
1,1,48.5141315674631,0.31441445497295584,1,0.7806501767468921,0.3640333021212645,0.7121614845945896,0.7976363774035179,0.1552271859206326,0.05618006542921272,2
1,0,56.23384365892934,0.3663887753462534,0,0.45734822384594687,0.4972413780464937,0.7842353999557544,0.8620712465769428,0.1806931386865327,0.0751885067555016,3
1,1,51.674168030719684,0.813417432886089,0,1.0,0.7071122042490865,0.9472050949644113,0.9779713995735847,0.30201261493291337,0.12035367346661563,9
0,0,58.27224496242164,0.22587666541775106,0,0.4843575550295787,0.45953622317981,0.7594623534703268,0.8370834837116765,0.16231725531562052,-0.014359143930272489,1
1,0,50.273107759070356,0.6550606523289494,1,0.3404673414436966,0.40318928165617923,0.6560891858952782,0.7563611314769316,0.16230583199371207,0.14922035433918246,7
1,0,38.6740070692921,0.877749191715365,1,0.6314528101641743,0.4987853352084197,0.7935305335092409,0.882959825961109,0.2248076597737222,0.07144689538895921,9
0,0,32.47035249648522,0.3694459150764095,0,0.7426056750220522,0.4999255202484331,0.8144298851732305,0.891686799769047,0.20967745476366667,0.3202805044965721,3
0,0,45.29131763759521,0.40604606511204966,1,0.5094776514990965,0.34611519778044963,0.6257432492204953,0.7190111962640765,0.1418546749167171,0.06216941665364606,3
1,1,27.86522801693738,0.8560966874441007,0,0.5087610126633727,0.6044426898660511,0.8450564556929666,0.9223142694671584,0.25929060438295237,0.11423235827422196,9
1,0,42.74117738014312,0.5779420751880102,1,0.6645962873565789,0.4169269313953104,0.7342481570949823,0.8271750241944308,0.18315094001385943,-0.10594011803144976,6
1,0,34.485572883364206,0.6325652265893161,0,0.05237134205094851,0.4785165313169871,0.6609298952981447,0.769910630215772,0.18012191819349227,-0.03997392722977278,7
1,1,52.33439692401104,0.5231779629052893,0,0.6058083310709059,0.5650475689812903,0.8519293712017914,0.9173585347137204,0.219057527542884,0.032496437395703515,5
1,1,46.43269863813213,0.575410711603741,0,0.8202573251951863,0.6052742761421158,0.8949547178450684,0.9472197288644829,0.24833733926007978,0.16780270346713178,6
0,0,64.86696379529747,0.7381090245871993,1,0.7012600547656767,0.5066429067206699,0.828187343529918,0.9007299691426726,0.21084235916464755,0.10899397916118614,8
1,1,37.50723087688815,0.8171631500926917,0,0.9432906020099465,0.6786041680565963,0.9307577653083362,0.9703759962032131,0.2969035327148984,0.2284252832096515,9
1,1,36.380776450870115,0.4982333815154755,0,0.6523694091964336,0.5357357176892815,0.8289266583660877,0.9036064962200172,0.2199719481469647,0.08300767419257138,5
1,0,34.389342642635775,0.17414912764613202,1,0.4609083987915915,0.2588048020443455,0.4783901791101665,0.5548154108336938,0.10221320902607896,-0.24254657627057963,0
1,0,37.93950645762078,0.8171692973218195,1,0.2007338017132485,0.40994396575100983,0.615069048164669,0.7284191765127548,0.17264877476959778,0.30104977075053363,9
